Organization,entity_and_date,,,grant_amount
Temple Academy of Music,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Art League,Metro Arts & ABC 1988-89,Metro,1988-89,"1,000"
Tennessee Artists' Guild,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Association of Craft Artists (DBA Tennessee Craft),Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Chamber Chorale,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Committee for Prevention of Child Abuse,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Committee of National Musuem of Women in the Arts,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Dance Theatre,Metro Arts & ABC 1988-89,Metro,1988-89,"11,500"
Tennessee Fox Trot Carousel,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Grassroots Festival,Metro Arts & ABC 1988-89,Metro,1988-89,"5,000"
Tennessee Jazz & Blues Society,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Opera,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Performing Arts Center,Metro Arts & ABC 1988-89,Metro,1988-89,0
"Tennessee Performing Arts Center, Rock Wedding",Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Repertory Theatre,Metro Arts & ABC 1988-89,Metro,1988-89,"26,350"
Tennessee Screenwriting Association,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee State Museum,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Theatre Company,Metro Arts & ABC 1988-89,Metro,1988-89,0
Tennessee Women's Theatre Project,Metro Arts & ABC 1988-89,Metro,1988-89,0
Theater Bug,Metro Arts & ABC 1988-89,Metro,1988-89,0
Therapeutic and Creative Arts,Metro Arts & ABC 1988-89,Metro,1988-89,0
Travellers' Rest,Metro Arts & ABC 1988-89,Metro,1988-89,0
Turnip Green Creative Reuse,Metro Arts & ABC 1988-89,Metro,1988-89,0
Uhuru Dance Company,Metro Arts & ABC 1988-89,Metro,1988-89,0
UnLocked,Metro Arts & ABC 1988-89,Metro,1988-89,0
Untitled,Metro Arts & ABC 1988-89,Metro,1988-89,0
Unveiling the Voice Within,Metro Arts & ABC 1988-89,Metro,1988-89,0
"Vanderbilt University, Kennedy Center",Metro Arts & ABC 1988-89,Metro,1988-89,0
"Vanderbilt University, Sarratt Student Center",Metro Arts & ABC 1988-89,Metro,1988-89,"5,000"
Village Cultural Arts Center,Metro Arts & ABC 1988-89,Metro,1988-89,0
Village Records,Metro Arts & ABC 1988-89,Metro,1988-89,0
Visual Arts Alliance of Nashville (VAAN),Metro Arts & ABC 1988-89,Metro,1988-89,0
Voices on the Edge: Keeping and Including all of Edgehill,Metro Arts & ABC 1988-89,Metro,1988-89,0
Voices Unwavering,Metro Arts & ABC 1988-89,Metro,1988-89,0
Volunteers/Imprv. 20th Dist.,Metro Arts & ABC 1988-89,Metro,1988-89,"3,250"
VSA Arts Tennessee,Metro Arts & ABC 1988-89,Metro,1988-89,0
W.O. Smith Nashville Community Music School,Metro Arts & ABC 1988-89,Metro,1988-89,"10,000"
Wade,Metro Arts & ABC 1988-89,Metro,1988-89,0
Walking Within Your Creative Right,Metro Arts & ABC 1988-89,Metro,1988-89,0
"Watkins College of Art, Design & Film (formerly Watkins Institute)",Metro Arts & ABC 1988-89,Metro,1988-89,"3,625"
